id;SEVERITY_classes;age_classes;day_week;DEFORMED_classes;m_harm_classes;hour;impact1_classes;lgt_cond;make;man_coll;month;p_crash1;pcrash4;pcrash5;rel_road;reljct1;reljct2;rest_use;sex;speedrel_classes;typ_int;valign;ve_total;vnum_lan;vsurcond;vtrafway;weather_classes
10105;0;4;1;4;1;20;13;2;4.0;4;10;1;2;2;1;0;8;1.0;1.0;1;1;2;2;3;2;3;1
6514;0;10;2;4;1;15;13;1;2.0;4;4;1;2;2;1;0;2;1.0;1.0;0;2;2;2;3;2;4;1
32741;0;9;7;3;1;24;13;3;2.0;1;3;1;2;2;1;0;1;1.0;1.0;0;1;2;1;3;2;2;1
32610;0;5;4;2;1;1;11;3;4.0;1;8;1;2;2;1;0;1;4.0;1.0;0;1;2;4;2;2;6;1
9;1;9;4;4;1;10;13;1;2.0;4;3;1;2;2;1;0;2;2.0;1.0;0;2;2;2;3;2;2;1
6203;1;7;5;4;1;19;5;1;2.0;4;6;1;2;5;1;0;1;3.0;1.0;1;1;2;2;4;2;3;1
3943;0;10;4;4;5;19;1;2;10.0;1;10;1;3;2;1;0;1;3.0;1.0;0;1;2;1;3;2;2;1
31157;0;5;2;2;1;15;13;1;10.0;2;8;1;2;2;1;0;1;4.0;1.0;0;1;2;2;6;2;4;1
8877;0;3;7;4;1;1;13;3;2.0;1;4;8;3;3;4;0;3;3.0;1.0;1;2;5;2;5;2;3;1
16877;0;4;4;4;1;3;13;3;4.0;4;5;1;2;2;1;0;2;2.0;1.0;0;3;2;2;3;2;2;1
18465;1;8;7;4;1;15;2;1;7.0;1;9;8;2;3;4;0;1;3.0;1.0;0;1;4;1;3;2;2;1
22576;0;10;5;4;3;14;13;1;2.0;1;3;1;2;3;4;0;3;3.0;1.0;0;2;2;1;3;2;2;1
16514;1;8;4;2;5;17;1;1;7.0;1;3;8;2;3;6;0;2;1.0;1.0;0;3;4;1;3;2;2;1
14729;0;12;6;4;5;12;1;1;10.0;3;6;8;2;2;1;0;1;1.0;1.0;0;1;3;3;3;2;2;1
26453;0;6;3;4;5;7;1;1;7.0;1;6;1;2;3;4;0;1;3.0;1.0;0;1;2;1;3;2;2;1
6601;0;7;3;4;1;16;13;1;2.0;3;11;8;2;2;1;0;1;1.0;1.0;0;1;3;2;3;2;2;1
4937;0;11;5;4;1;21;13;5;7.0;2;7;1;2;2;1;0;1;3.0;1.0;0;1;2;2;3;2;2;1
13313;1;3;1;4;1;15;13;1;2.0;3;5;8;2;2;1;0;1;1.0;1.0;0;1;3;2;3;2;2;1
13231;0;9;1;4;1;21;13;2;7.0;4;8;1;2;2;1;0;2;1.0;1.0;0;3;2;2;5;3;2;3
23446;0;5;1;2;1;1;19;3;4.0;7;3;1;2;2;1;0;1;2.0;1.0;0;1;2;2;5;2;4;1
