id;Severity;age_classes;day_week;DEFORMED_classes;hour;impact1_classes;make;man_coll;month;reljct2;rest_use;vnum_lan;vtrafway
7457;0;8;7;4;16;10;2.0;1;11;1;2.0;3;2
9750;1;8;2;4;17;13;7.0;4;8;2;1.0;5;2
5811;1;3;5;4;16;13;8.0;4;10;1;2.0;3;3
11954;0;5;3;4;15;13;10.0;4;10;2;3.0;3;2
2936;1;8;4;4;17;13;7.0;4;5;2;1.0;5;2
9710;1;8;5;4;12;13;4.0;1;5;1;1.0;3;2
10804;0;4;7;4;2;13;10.0;4;11;2;2.0;3;3
16222;0;4;1;4;3;13;10.0;1;6;1;1.0;3;2
20940;0;11;6;3;18;10;10.0;4;12;8;1.0;1;1
23448;0;7;6;4;17;1;7.0;1;3;1;2.0;5;4
25843;1;7;5;4;10;13;2.0;4;7;8;2.0;4;4
33473;0;10;7;4;12;1;7.0;1;5;1;3.0;3;2
8774;1;8;4;3;10;1;10.0;1;8;1;2.0;3;3
15755;1;5;5;3;7;13;4.0;4;9;2;2.0;5;2
7915;0;3;3;4;20;13;4.0;1;11;1;1.0;4;3
34199;1;10;7;4;21;19;7.0;6;9;1;3.0;3;2
11690;1;4;2;4;22;4;10.0;4;3;2;3.0;5;6
16638;1;3;1;4;5;13;2.0;1;8;1;3.0;3;2
1731;1;4;7;4;12;13;2.0;4;7;2;2.0;3;2
1820;1;3;5;4;21;13;2.0;4;9;2;3.0;5;3
14348;0;7;1;3;1;13;7.0;2;6;3;3.0;4;3
34190;0;4;3;4;12;11;2.0;4;8;2;1.0;6;2
34404;0;6;6;4;22;13;7.0;4;3;2;3.0;4;4
17550;1;4;6;4;18;13;7.0;4;5;2;1.0;3;2
19728;1;8;5;4;12;13;4.0;1;5;1;1.0;3;2
7894;1;6;6;4;14;3;2.0;4;11;2;3.0;3;2
34703;0;5;7;4;12;13;7.0;2;6;1;4.0;5;4
11665;0;4;5;4;22;13;8.0;4;11;2;3.0;3;4
3041;1;10;6;4;15;13;7.0;1;9;1;1.0;3;2
17838;1;3;2;4;8;13;4.0;4;6;2;2.0;3;3
8240;0;4;5;4;24;7;10.0;2;10;3;1.0;5;2
13946;0;6;6;4;9;1;7.0;1;9;1;3.0;3;3
24052;1;7;1;4;18;13;7.0;2;11;1;2.0;3;4
16121;1;7;7;4;6;1;10.0;1;4;5;1.0;3;7
2867;0;4;6;4;3;13;7.0;1;5;3;3.0;3;2
14900;1;10;7;4;10;13;2.0;4;7;2;1.0;3;3
19067;1;4;1;4;17;13;4.0;4;5;8;1.0;3;2
18888;1;4;5;4;13;13;8.0;1;3;1;3.0;3;2
20751;0;3;7;2;23;13;8.0;1;7;3;2.0;3;2
18401;1;6;3;4;19;10;4.0;6;6;1;3.0;5;2
36292;0;10;1;3;17;10;7.0;5;6;3;1.0;4;4
28685;0;4;1;2;1;13;3.0;1;6;1;1.0;3;3
8848;1;4;3;3;19;18;10.0;5;7;1;2.0;2;6
12670;1;4;5;4;17;13;8.0;4;11;2;1.0;3;2
8133;1;10;2;4;20;1;7.0;1;5;1;1.0;3;3
6806;0;5;6;4;21;13;7.0;2;9;1;3.0;3;4
6254;0;5;3;4;6;13;4.0;4;8;2;2.0;3;3
10233;1;3;2;4;20;13;2.0;3;8;8;1.0;6;5
6649;1;8;2;3;10;13;2.0;2;8;3;3.0;4;4
22951;0;7;4;2;17;1;2.0;1;6;3;2.0;4;4
10488;0;6;6;3;23;1;10.0;1;4;1;2.0;7;4
18973;1;7;7;4;21;10;10.0;4;10;2;1.0;3;3
32316;0;7;6;4;17;13;7.0;4;5;2;4.0;3;2
3003;1;5;1;4;10;12;7.0;4;7;2;1.0;3;2
1365;1;6;7;4;18;13;7.0;4;10;2;1.0;3;2
11169;1;6;6;4;12;13;2.0;4;3;2;3.0;3;3
24921;0;4;5;2;10;1;7.0;1;11;1;2.0;3;3
